Source,Target,source.type,target.type,abs.r,r,p.n,p
(g)Enhydrobacter,Size_FR,genus,CT,0.411268731110065,-0.411268731110065,neg,0.0141104467300894
(g)Erysipelothrix,MEcyan4,genus,trans,0.413725490196078,-0.413725490196078,neg,0.013489931297238
(g)Erysipelothrix,MEgoldenrod3,genus,trans,0.403361344537815,-0.403361344537815,neg,0.0162730508591538
(g)Erysipelothrix,MElightskyblue1,genus,trans,0.437535014005602,0.437535014005602,pos,0.00857709173520839
(g)Erysipelothrix,MEmediumpurple2,genus,trans,0.401960784313726,-0.401960784313726,neg,0.0166836381819784
(g)Flavobacterium,MEchocolate2,genus,trans,0.424929971988796,-0.424929971988796,neg,0.0109433607925835
(g)Flavobacterium,MEdarkolivegreen1,genus,trans,0.435014005602241,0.435014005602241,pos,0.00901183892498468
(g)Geobacillus,MErosybrown,genus,trans,0.441176470588235,-0.441176470588235,neg,0.00798074630966726
(g)Granulicatella,MEcoral,genus,trans,0.475350140056022,0.475350140056022,pos,0.00390407407733994
(g)Granulicatella,MEhoneydew1,genus,trans,0.407843137254902,0.407843137254902,pos,0.0150156128650487
(g)Granulicatella,MElemonchiffon3,genus,trans,0.488515406162465,0.488515406162465,pos,0.0029060358600695
(g)Granulicatella,MEorangered1,genus,trans,0.434453781512605,0.434453781512605,pos,0.00911095570009563
(g)Granulicatella,MEsienna3,genus,trans,0.40952380952381,0.40952380952381,pos,0.0145656072976526
(g)Granulicatella,MEthistle2,genus,trans,0.426890756302521,0.426890756302521,pos,0.010542525000737
(g)Halomonas,MEblue2,genus,trans,0.410364145658263,0.410364145658263,pos,0.0143448897351596
(g)Halomonas,MEgreenyellow,genus,trans,0.46078431372549,-0.46078431372549,neg,0.00534178196079608
(g)Hydrogenophilus,MEfirebrick2,genus,trans,0.438655462184874,-0.438655462184874,neg,0.00838968511713272
(g)Hydrogenophilus,MEindianred3,genus,trans,0.404201680672269,-0.404201680672269,neg,0.0160307865169558
(g)Hydrogenophilus,MEkhaki3,genus,trans,0.400840336134454,-0.400840336134454,neg,0.0170183193108331
(g)Hydrogenophilus,MElightgreen,genus,trans,0.413165266106443,0.413165266106443,pos,0.0136293677663471
(g)Hydrogenophilus,MElightskyblue,genus,trans,0.429131652661065,-0.429131652661065,neg,0.010099738068114
(g)Hydrogenophilus,MEred4,genus,trans,0.40672268907563,-0.40672268907563,neg,0.0153220564848311
(g)Hydrogenophilus,MErosybrown2,genus,trans,0.615126050420168,-0.615126050420168,neg,8.41551962306548e-05
(g)Hydrogenophilus,MEseashell2,genus,trans,0.555182072829132,-0.555182072829132,neg,0.000536813341119291
(g)Hydrogenophilus,MEsienna3,genus,trans,0.458543417366947,0.458543417366947,pos,0.00559915605662856
(g)Hymenobacter,MEbrown4,genus,trans,0.495238095238095,-0.495238095238095,neg,0.00248810188667488
(g)Hymenobacter,MEnavajowhite1,genus,trans,0.420728291316527,-0.420728291316527,neg,0.011845929735233
(g)Hyphomicrobium,MEantiquewhite3,genus,trans,0.414285714285714,0.414285714285714,pos,0.0133516983789759
(g)Hyphomicrobium,MEblueviolet,genus,trans,0.417366946778712,0.417366946778712,pos,0.012612569933409
(g)Hyphomicrobium,MEbrown1,genus,trans,0.413725490196078,-0.413725490196078,neg,0.013489931297238
(g)Hyphomicrobium,MEcornflowerblue,genus,trans,0.444817927170868,-0.444817927170868,neg,0.00742015898325665
(g)Hyphomicrobium,MElightblue1,genus,trans,0.419047619047619,-0.419047619047619,neg,0.0122241744107945
(g)Hyphomicrobium,MEmediumblue,genus,trans,0.407563025210084,0.407563025210084,pos,0.0150917370659988
(g)Hyphomicrobium,MEslateblue2,genus,trans,0.412605042016807,-0.412605042016807,neg,0.0137700159340386
(g)Isobaculum,MEblueviolet,genus,trans,0.40952380952381,0.40952380952381,pos,0.0145656072976526
(g)Isobaculum,MEbrown1,genus,trans,0.450140056022409,-0.450140056022409,neg,0.00666155750297323
(g)Isobaculum,MEgoldenrod3,genus,trans,0.423809523809524,-0.423809523809524,neg,0.0111781522309381
(g)Isobaculum,MEslateblue2,genus,trans,0.435574229691877,-0.435574229691877,neg,0.00891364145075368
(g)Lactobacillus,MEbisque2,genus,trans,0.413725490196078,-0.413725490196078,neg,0.013489931297238
(g)Lactobacillus,MEburlywood,genus,trans,0.430532212885154,-0.430532212885154,neg,0.00983109297356436
(g)Lactobacillus,MEburlywood3,genus,trans,0.440056022408964,0.440056022408964,pos,0.00816034611618874
(g)Lactobacillus,MEdarkgrey,genus,trans,0.451820728291317,-0.451820728291317,neg,0.00643625351480773
(g)Lactobacillus,MEdarkorange,genus,trans,0.449859943977591,0.449859943977591,pos,0.00669975767173915
(g)Lactobacillus,MEdeepskyblue4,genus,trans,0.549019607843137,-0.549019607843137,neg,0.000636945505545765
(g)Lactobacillus,MEfirebrick1,genus,trans,0.434733893557423,-0.434733893557423,neg,0.00906128197281
(g)Lactobacillus,MElemonchiffon3,genus,trans,0.474509803921569,0.474509803921569,pos,0.00397679979767061
(g)Lactobacillus,MElightseagreen,genus,trans,0.419607843137255,-0.419607843137255,neg,0.0120969753771763
(g)Lactobacillus,MEmagenta4,genus,trans,0.404761904761905,0.404761904761905,pos,0.0158709620994097
(g)Lactobacillus,MEmediumorchid1,genus,trans,0.608963585434174,0.608963585434174,pos,0.000103594407353575
(g)Lactobacillus,MEmediumpurple1,genus,trans,0.425770308123249,0.425770308123249,pos,0.0107700208970014
(g)Lactobacillus,MEpowderblue,genus,trans,0.472549019607843,0.472549019607843,pos,0.0041510679691493
(g)Lactobacillus,MEskyblue1,genus,trans,0.401120448179272,0.401120448179272,pos,0.0169341270003601
(g)Lactobacillus,MEslateblue,genus,trans,0.527731092436975,0.527731092436975,pos,0.0011220822384011
(g)Lactobacillus,MEsteelblue,genus,trans,0.563025210084034,0.563025210084034,pos,0.000429713959850741
(g)Lactobacillus,MEtan2,genus,trans,0.463865546218487,-0.463865546218487,neg,0.0050045589699163
(g)Lactobacillus,MEthistle2,genus,trans,0.404201680672269,0.404201680672269,pos,0.0160307865169558
(g)Lactobacillus,MEwhite,genus,trans,0.468067226890756,0.468067226890756,pos,0.00457437428643717
(g)Lactobacillus,MEyellow2,genus,trans,0.518207282913165,-0.518207282913165,neg,0.00142869784368541
